Player,Sold/Unsold,Winning Bid,2025 Team,2024 Team,Retained,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,BASRA,Avg+,SR+,BASRA+
Abhishek Sharma,Sold,14.00,SRH,SRH,Yes,484,16,16,1,75*,32.27,237,204.21,0,3,36,42,236.48,146.43,154.2,153.09
Travis Head,Sold,14.00,SRH,SRH,Yes,567,15,15,1,102,40.5,296,191.55,1,4,64,32,232.05,183.77,144.64,150.22
Heinrich Klaasen,Sold,23.00,SRH,SRH,Yes,479,16,15,3,80*,39.92,280,171.07,0,4,19,38,210.99,181.14,129.18,136.59
Atharva Taide,Sold,0.30,SRH,PBKS,No,61,2,2,0,46,30.5,39,156.41,0,0,7,2,186.91,138.4,118.11,121
Nitish Kumar Reddy,Sold,6.00,SRH,SRH,Yes,303,13,11,2,76*,33.67,212,142.92,0,2,15,21,176.59,152.78,107.92,114.32
Ishan Kishan,Sold,11.25,SRH,MI,No,320,14,14,0,69,22.86,215,148.83,0,1,35,16,171.69,103.73,112.38,111.15
Pat Cummins,Sold,18.00,SRH,SRH,Yes,136,16,10,4,35*,22.67,95,143.15,0,0,9,8,165.82,102.87,108.09,107.35
Rahul Chahar,Sold,3.20,SRH,PBKS,No,21,9,2,1,16,21,15,140,0,0,3,1,161,95.29,105.71,104.23
Jaydev Unadkat,Sold,1.00,SRH,SRH,No,24,11,5,2,8*,8,26,92.3,0,0,2,1,100.3,36.3,69.7,64.93
Harshal Patel,Sold,8.00,SRH,PBKS,No,13,14,4,1,12,4.33,19,68.42,0,0,1,1,72.75,19.65,51.66,47.1
Abhinav Manohar,Sold,3.20,SRH,GT,No,9,2,2,0,8,4.5,16,56.25,0,0,1,0,60.75,20.42,42.47,39.33
Sanju Samson,Sold,18.00,RR,RR,Yes,531,16,15,4,86,48.27,346,153.46,0,5,48,24,201.73,219.03,115.88,130.6
Riyan Parag,Sold,14.00,RR,RR,Yes,573,16,14,3,84*,52.09,384,149.21,0,4,40,33,201.3,236.36,112.67,130.32
Shubham Dubey,Sold,0.80,RR,RR,No,33,4,3,1,25,16.5,19,173.68,0,0,3,2,190.18,74.87,131.15,123.12
Yashasvi Jaiswal,Sold,18.00,RR,RR,Yes,435,16,15,1,104*,31.07,279,155.91,1,1,54,16,186.98,140.98,117.73,121.05
Shimron Hetmyer,Sold,11.00,RR,RR,Yes,113,12,9,4,27*,22.6,69,163.76,0,0,9,7,186.36,102.55,123.66,120.65
Dhruv Jurel,Sold,14.00,RR,RR,Yes,195,15,11,3,56*,24.38,141,138.29,0,2,18,7,162.67,110.63,104.42,105.31
Nitish Rana,Sold,4.20,RR,KKR,No,42,2,2,0,33,21,34,123.52,0,0,5,1,144.52,95.29,93.27,93.56
Romario Shepherd,Sold,1.50,RCB,MI,No,57,6,5,3,39*,28.5,21,271.42,0,0,5,5,299.92,129.32,204.95,194.16
Phil Salt,Sold,11.50,RCB,KKR,No,435,12,12,1,89*,39.55,239,182,0,4,50,24,221.55,179.46,137.43,143.43
Virat Kohli,Sold,21.00,RCB,RCB,Yes,741,15,15,3,113*,61.75,479,154.69,1,5,62,38,216.44,280.2,116.81,140.12
Rajat Patidar,Sold,11.00,RCB,RCB,Yes,395,15,13,0,55,30.38,223,177.13,0,5,21,33,207.51,137.85,133.75,134.34
Swapnil Singh,Sold,0.50,RCB,RCB,No,37,7,5,3,15*,18.5,21,176.19,0,0,3,3,194.69,83.95,133.04,126.04
Tim David,Sold,3.00,RCB,MI,No,241,13,11,3,45*,30.13,152,158.55,0,0,14,15,188.68,136.72,119.72,122.15
