Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,BASRA,Avg+,SR+,BASRA+
"Virat Kohli
",RCB,741,15,15,3,113*,61.75,479,154.69,1,5,62,38,216.44,280.2,116.81,140.12
"Ruturaj Gaikwad
",CSK,583,14,14,3,108*,53.0,413,141.16,1,4,58,18,194.16,240.49,106.59,125.69
"Riyan Parag
",RR,573,16,14,3,84*,52.09,384,149.21,0,4,40,33,201.3,236.36,112.67,130.32
"Travis Head
",SRH,567,15,15,1,102,40.5,296,191.55,1,4,64,32,232.05,183.77,144.64,150.22
"Sanju Samson
",RR,531,16,15,4,86,48.27,346,153.46,0,5,48,24,201.73,219.03,115.88,130.6
"Sai Sudharsan
",GT,527,12,12,1,103,47.91,373,141.28,1,2,48,16,189.19,217.4,106.68,122.48
"K L Rahul
",LSG,520,14,14,0,82,37.14,382,136.12,0,4,45,19,173.26,168.53,102.79,112.16
"Nicholas Pooran
",LSG,499,14,14,6,75,62.38,280,178.21,0,3,35,36,240.59,283.06,134.57,155.75
"Sunil Narine
",KKR,488,15,14,0,109,34.86,270,180.74,1,3,50,33,215.6,158.18,136.48,139.57
"Abhishek Sharma
",SRH,484,16,16,1,75*,32.27,237,204.21,0,3,36,42,236.48,146.43,154.2,153.09
"Heinrich Klaasen
",SRH,479,16,15,3,80*,39.92,280,171.07,0,4,19,38,210.99,181.14,129.18,136.59
"Rishabh Pant
",DC,446,13,13,2,88*,40.55,287,155.4,0,3,36,25,195.95,184.0,117.34,126.85
"Faf Du Plessis
",RCB,438,15,15,0,64,29.2,271,161.62,0,4,47,21,190.82,132.5,122.04,123.53
"Phil Salt
",KKR,435,12,12,1,89*,39.55,239,182.0,0,4,50,24,221.55,179.46,137.43,143.43
"Yashasvi Jaiswal
",RR,435,16,15,1,104*,31.07,279,155.91,1,1,54,16,186.98,140.98,117.73,121.05
"Shubman Gill
",GT,426,12,12,1,104,38.73,289,147.4,1,2,37,15,186.13,175.74,111.3,120.5
"Rohit Sharma
",MI,417,14,14,1,105*,32.08,278,150.0,1,1,45,23,182.08,145.57,113.27,117.87
"Tilak Varma
",MI,416,13,13,3,65,41.6,278,149.64,0,3,35,19,191.24,188.76,112.99,123.8
"Shivam Dube
",CSK,396,14,14,3,66*,36.0,244,162.29,0,3,28,28,198.29,163.35,122.55,128.37
"Rajat Patidar
",RCB,395,15,13,0,55,30.38,223,177.13,0,5,21,33,207.51,137.85,133.75,134.34
"Marcus Stoinis
",LSG,388,14,14,2,124*,32.33,263,147.52,1,2,39,16,179.85000000000002,146.7,111.39,116.43
"Tristan Stubbs
",DC,378,14,13,6,71*,54.0,198,190.9,0,3,24,26,244.9,245.03,144.15,158.54
"Venkatesh Iyer
",KKR,370,15,13,5,70,46.25,233,158.79,0,4,35,19,205.04,209.86,119.9,132.74
"Jos Buttler
",RR,359,11,11,2,107*,39.89,255,140.78,2,0,36,12,180.67,181.01,106.3,116.96
"Shashank Singh
",PBKS,354,14,14,6,68*,44.25,215,164.65,0,2,28,21,208.9,200.79,124.33,135.24
"Shreyas Iyer
",KKR,351,15,14,5,58*,39.0,239,146.86,0,2,34,14,185.86,176.97,110.89,120.32
"Suryakumar Yadav
",MI,345,11,11,1,102*,34.5,206,167.47,1,3,36,18,201.97,156.55,126.46,130.75
"Prabhsimran Singh
",PBKS,334,14,14,0,71,23.86,213,156.8,0,2,34,20,180.66000000000005,108.27,118.4,116.96
"Jake Fraser - McGurk
",DC,330,9,9,0,84,36.67,141,234.04,0,4,32,28,270.71,166.39,176.73,175.25
"Abishek Porel
",DC,327,14,12,2,65,32.7,205,159.51,0,2,36,13,192.21,148.38,120.45,124.43
"Dinesh Karthik
",RCB,326,15,13,4,83,36.22,174,187.35,0,2,27,22,223.57,164.35,141.47,144.73
"Ishan Kishan
",MI,320,14,14,0,69,22.86,215,148.83,0,1,35,16,171.69,103.73,112.38,111.15
"Daryl Mitchell
",CSK,318,13,13,2,63,28.91,223,142.6,0,2,27,10,171.51,131.18,107.68,111.03
"Nitish Kumar Reddy
",SRH,303,13,11,2,76*,33.67,212,142.92,0,2,15,21,176.58999999999995,152.78,107.92,114.32
"Jonny Bairstow
",PBKS,298,11,11,1,108*,29.8,195,152.82,1,0,33,14,182.62,135.22,115.4,118.22
"Sam Curran
",PBKS,270,13,12,2,63*,27.0,219,123.28,0,2,24,6,150.28,122.52,93.09,97.29
"Ravindra Jadeja
",CSK,267,14,11,5,57*,44.5,187,142.78,0,1,22,8,187.28,201.92,107.81,121.24
"Cameron Green
",RCB,255,13,12,4,46,31.88,178,143.25,0,0,22,10,175.13,144.66,108.17,113.38
"Quinton De Kock
",LSG,250,11,11,0,81,22.73,186,134.4,0,3,29,9,157.13,103.14,101.49,101.72
"Ajinkya Rahane
",CSK,242,13,12,0,45,20.17,196,123.46,0,0,23,7,143.63,91.52,93.23,92.98
"Tim David
",MI,241,13,11,3,45*,30.13,152,158.55,0,0,14,15,188.68,136.72,119.72,122.15
"Ayush Badoni
",LSG,235,14,12,4,55*,29.38,171,137.42,0,2,22,5,166.79999999999998,133.32,103.77,107.98
"Axar Patel
",DC,235,14,12,4,66,29.38,179,131.28,0,2,19,10,160.66,133.32,99.13,104.01
"Will Jacks
",RCB,230,8,8,1,100*,32.86,131,175.57,1,1,16,18,208.43,149.11,132.57,134.93
"Andre Russell
",KKR,222,15,9,2,64*,31.71,120,185.0,0,1,20,16,216.71,143.89,139.69,140.29
"Rachin Ravindra
",CSK,222,10,10,0,61,22.2,138,160.86,0,1,22,12,183.06,100.74,121.47,118.51
"Aiden Markram
",SRH,220,11,11,2,50,24.44,177,124.29,0,1,18,4,148.73000000000002,110.9,93.85,96.28
"Hardik Pandya
",MI,216,14,13,1,46,18.0,151,143.04,0,0,17,11,161.04,81.68,108.01,104.25
"Shahbaz Ahmed
",SRH,215,16,12,3,59*,23.89,166,129.51,0,1,7,13,153.39999999999998,108.4,97.79,99.31
"Rilee Rossouw
",PBKS,211,8,8,0,61,26.38,116,181.89,0,1,25,11,208.27,119.7,137.35,134.83
"David Miller
",GT,210,9,9,3,55,35.0,139,151.07,0,1,20,8,186.07,158.82,114.07,120.46
"Prithvi Shaw
",DC,198,8,8,0,66,24.75,121,163.63,0,1,30,5,188.38,112.31,123.56,121.95
"Dhruv Jurel
",RR,195,15,11,3,56*,24.38,141,138.29,0,2,18,7,162.67,110.63,104.42,105.31
"Ashutosh Sharma
",PBKS,189,11,9,2,61,27.0,113,167.25,0,1,10,15,194.25,122.52,126.29,125.75
"Rahul Tewatia
",GT,188,12,9,2,36*,26.86,129,145.73,0,0,24,5,172.58999999999995,121.88,110.04,111.73
"Jitesh Sharma
",PBKS,187,14,12,1,32*,17.0,142,131.69,0,0,9,12,148.69,77.14,99.44,96.26
"Shai Hope
",DC,183,9,9,1,41,22.88,122,150.0,0,0,12,12,172.88,103.82,113.27,111.92
"Abdul Samad
",SRH,182,16,12,2,37*,18.2,108,168.51,0,0,15,11,186.71,82.58,127.24,120.87
"Rinku Singh
",KKR,168,15,11,2,26,18.67,113,148.67,0,0,13,8,167.33999999999995,84.72,112.26,108.33
"David Warner
",DC,168,8,8,0,52,21.0,125,134.4,0,1,17,10,155.4,95.29,101.49,100.6
"Rahul Tripathi
",SRH,165,6,6,0,55,27.5,115,143.47,0,1,18,6,170.97,124.78,108.34,110.68
"Angkrish Raghuvanshi
",KKR,163,10,7,0,54,23.29,105,155.23,0,1,16,8,178.51999999999998,105.68,117.22,115.57
"MS Dhoni
",CSK,161,14,11,8,37*,53.67,73,220.54,0,0,14,13,274.21,243.53,166.53,177.52
"Shikhar Dhawan
",PBKS,152,5,5,0,70,30.4,121,125.61,0,1,18,4,156.01,137.94,94.85,101.0
"Deepak Hooda
",LSG,145,11,9,1,50,18.13,105,138.09,0,1,16,3,156.22,82.27,104.27,101.13
"Naman Dhir
",MI,140,7,7,1,62*,23.33,79,177.21,0,1,12,10,200.54,105.86,133.81,129.82
"Pat Cummins
",SRH,136,16,10,4,35*,22.67,95,143.15,0,0,9,8,165.82,102.87,108.09,107.35
"Wriddhiman Saha
",GT,136,9,9,0,39,15.11,115,118.26,0,0,18,3,133.37,68.56,89.3,86.34
"Krunal Pandya
",LSG,133,14,12,8,43*,33.25,105,126.66,0,0,8,5,159.91,150.88,95.64,103.52
"Moeen Ali
",CSK,128,8,5,0,56,25.6,98,130.61,0,1,7,8,156.21,116.16,98.62,101.13
"Shahrukh Khan
",GT,127,7,7,0,58,18.14,75,169.33,0,1,9,9,187.47000000000003,82.31,127.86,121.36
"Ramandeep Singh
",KKR,125,15,9,5,35,31.25,62,201.61,0,0,5,12,232.86,141.8,152.24,150.75
"Mahipal Lomror
",RCB,125,10,10,2,33,15.63,68,183.82,0,0,9,9,199.45,70.92,138.8,129.12
"Shimron Hetmyer
",RR,113,12,9,4,27*,22.6,69,163.76,0,0,9,7,186.36,102.55,123.66,120.65
"Liam Livingstone
",PBKS,111,7,7,2,38*,22.2,78,142.3,0,0,8,7,164.5,100.74,107.45,106.49
"Nehal Wadhera
",MI,109,6,6,0,49,18.17,84,129.76,0,0,9,6,147.93,82.45,97.98,95.77
"Rovman Powell
",RR,103,10,7,1,27,17.17,68,151.47,0,0,10,6,168.64,77.91,114.38,109.17
"Rashid Khan
",GT,102,12,8,3,31,20.4,71,143.66,0,0,11,3,164.06,92.57,108.48,106.21
"Anuj Rawat
",RCB,98,5,5,1,48,24.5,77,127.27,0,0,10,3,151.76999999999998,111.17,96.1,98.25
"Ravichandran Ashwin
",RR,86,15,9,3,29,14.33,74,116.21,0,0,5,4,130.54,65.02,87.75,84.51
"Arshad Khan
",LSG,83,4,4,2,58*,41.5,54,153.7,0,1,6,5,195.2,188.31,116.06,126.37
"Vijay Shankar
",GT,83,7,7,2,17,16.6,72,115.27,0,0,7,2,131.87,75.32,87.04,85.37
"Harpreet Brar
",PBKS,75,13,7,5,29,37.5,54,138.88,0,0,8,2,176.38,170.16,104.87,114.18
"Dewald Brevis
",MI,69,3,3,0,46,23.0,59,116.94,0,0,3,5,139.94,104.37,88.3,90.59
"Mayank Agarwal
",SRH,64,4,4,0,32,16.0,57,112.28,0,0,8,1,128.28,72.6,84.78,83.05
"Rahmanullah Gurbaz
",KKR,62,3,2,0,39,31.0,46,134.78,0,0,7,4,165.78,140.67,101.77,107.32
"Mitchell Marsh
",DC,61,4,4,0,23,15.25,38,160.52,0,0,9,3,175.77,69.2,121.21,113.79
"Atharva Taide
",PBKS,61,2,2,0,46,30.5,39,156.41,0,0,7,2,186.91,138.4,118.11,121.0
"Romario Shepherd
",MI,57,6,5,3,39*,28.5,21,271.42,0,0,5,5,299.92,129.32,204.95,194.16
"Glenn Maxwell
",RCB,52,10,9,0,28,5.78,43,120.93,0,0,6,2,126.71,26.23,91.32,82.03
"Sameer Rizwi
",CSK,51,8,5,1,21,12.75,43,118.6,0,0,4,2,131.35,57.85,89.56,85.03
