Player,p_balls,p_wickets,d_balls,d_wickets,2024 Team,2025 Team,Retained,Winning_Bid,Total_Balls,Total_Wickets,Strike Rate,Strike Rate+
Bhuvneshwar Kumar,245,10,74,1,SRH,RCB,No,10.75,319,11,29,70.38228507
Trent Boult,234,12,54,4,RR,MI,No,12.5,288,16,18,113.3936815
Mohammad Siraj,175,5,96,5,RCB,GT,No,12.25,271,10,27.1,75.31683642
Arshdeep Singh,170,7,97,9,PBKS,PBKS,No,18,267,16,16.6875,122.3122857
TU Deshpande,154,6,91,8,CSK,RR,No,6.5,245,14,17.5,116.633501
Mitchell Starc,185,11,50,6,KKR,DC,No,11.75,235,17,13.82352941,147.6530491
T Natarajan,103,4,105,11,SRH,DC,No,10.75,208,15,13.86666667,147.1937212
Avesh Khan,79,5,121,8,RR,LSG,No,9.75,200,13,15.38461538,132.6706074
VG Arora,163,9,25,2,KKR,KKR,No,1.8,188,11,17.09090909,119.4252603
Mohsin Khan,116,5,70,3,LSG,GT,No,1.3,186,8,23.25,87.78865664
SM Curran,117,3,63,7,PBKS,CSK,No,2.4,180,10,18,113.3936815
HV Patel,44,1,113,14,PBKS,SRH,No,8,157,15,10.46666667,195.0082421
K Rabada,124,4,31,2,PBKS,GT,No,10.75,155,6,25.83333333,79.00979098
Mukesh Kumar,67,4,84,8,DC,DC,No,8,151,12,12.58333333,162.2055312
I Sharma,120,7,21,2,DC,GT,No,0.75,141,9,15.66666667,130.2821021
N Thushara,85,6,53,2,MI,RCB,No,1.6,138,8,17.25,118.3238416
DL Chahar,126,5,1,0,CSK,MI,No,9.25,127,5,25.4,80.35772705
MM Sharma,25,1,102,7,GT,DC,No,2.2,127,8,15.875,128.5723633
Yash Thakur,55,5,72,4,LSG,PBKS,No,1.6,127,9,14.11111111,144.6439087
Azmatullah Omarzai,112,3,6,0,GT,PBKS,No,2.4,118,3,39.33333333,51.89202374
G Coetzee,73,3,43,6,MI,GT,No,2.4,116,9,12.88888889,158.3601414
R Ashwin,67,2,38,1,RR,CSK,No,9.75,105,3,35,58.31675049
Anrich Nortje,36,2,47,3,DC,KKR,No,6.5,83,5,16.6,122.957004
RJW Topley,37,1,25,2,RCB,MI,No,0.75,62,3,20.66666667,98.76223873
SH Johnson,38,1,24,2,GT,KKR,No,2.8,62,3,20.66666667,98.76223873
